Product Name,Specifications,Brand,Review,Sentiment
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,"Gel-cream moisturizer with hyaluronic acid, provides intense hydration for all skin types.",Clinique,This product is amazing! It has transformed my skin for the better.,Positive
Tatcha The Water Cream,"Oil-free moisturizer with Japanese botanicals, controls oil and delivers hydration.",Tatcha,I had no breakouts at all! This has become a staple in my routine.,Positive
La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60,"Broad-spectrum sunscreen with antioxidants, suitable for sensitive skin.",La Roche-Posay,Customer service was unhelpful when I raised my concerns.,Negative
Pixi Glow Tonic,"Exfoliating toner with 5% glycolic acid, brightens skin and improves texture.",Pixi,The formula was too heavy and broke me out. I wouldn’t recommend it.,Negative
The Ordinary Niacinamide 10% + Zinc 1%,"Serum targeting blemishes, improves skin texture and reduces visible pores.",The Ordinary,I experienced allergic reactions after using it. Very disappointing.,Negative
The Ordinary Niacinamide 10% + Zinc 1%,"Serum targeting blemishes, improves skin texture and reduces visible pores.",The Ordinary,Great value for money. I love how my skin looks and feels after using it.,Positive
Pixi Glow Tonic,"Exfoliating toner with 5% glycolic acid, brightens skin and improves texture.",Pixi,I'm very satisfied with my purchase. It works wonders and is worth every penny!,Positive
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,"Gel-cream moisturizer with hyaluronic acid, provides intense hydration for all skin types.",Clinique,"The shade range is limited, and it didn’t match my skin tone well.",Negative
Maybelline New York Instant Age Rewind Concealer,"Concealer with a sponge applicator for easy blending, brightens and conceals imperfections.",Maybelline,Customer service was unhelpful when I raised my concerns.,Negative
Maybelline New York Instant Age Rewind Concealer,"Concealer with a sponge applicator for easy blending, brightens and conceals imperfections.",Maybelline,I'm really disappointed with this product. It didn’t work for me at all.,Negative
Tatcha The Water Cream,"Oil-free moisturizer with Japanese botanicals, controls oil and delivers hydration.",Tatcha,I'm really disappointed with this product. It didn’t work for me at all.,Negative
Estée Lauder Double Wear Stay-in-Place Makeup,"Long-wearing foundation with SPF 10, offers full coverage and a natural finish.",Estée Lauder,I experienced allergic reactions after using it. Very disappointing.,Negative
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,"Gel-cream moisturizer with hyaluronic acid, provides intense hydration for all skin types.",Clinique,"Absolutely love it! The results are noticeable, and my skin feels so much smoother.",Positive
Estée Lauder Double Wear Stay-in-Place Makeup,"Long-wearing foundation with SPF 10, offers full coverage and a natural finish.",Estée Lauder,Customer service was unhelpful when I raised my concerns.,Negative
Estée Lauder Double Wear Stay-in-Place Makeup,"Long-wearing foundation with SPF 10, offers full coverage and a natural finish.",Estée Lauder,"The scent is pleasant, and it feels luxurious on my skin.",Positive
Estée Lauder Double Wear Stay-in-Place Makeup,"Long-wearing foundation with SPF 10, offers full coverage and a natural finish.",Estée Lauder,"The texture is lovely, and it absorbs quickly. I'm a huge fan!",Positive
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,"Gel-cream moisturizer with hyaluronic acid, provides intense hydration for all skin types.",Clinique,It didn’t live up to the hype. My skin felt dry and irritated after use.,Negative
Maybelline New York Instant Age Rewind Concealer,"Concealer with a sponge applicator for easy blending, brightens and conceals imperfections.",Maybelline,I experienced allergic reactions after using it. Very disappointing.,Negative
CeraVe Hydrating Cleanser,"Gentle, non-foaming cleanser with ceramides and hyaluronic acid, suitable for normal to dry skin.",CeraVe,"The shade range is limited, and it didn’t match my skin tone well.",Negative
La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60,"Broad-spectrum sunscreen with antioxidants, suitable for sensitive skin.",La Roche-Posay,"The texture is lovely, and it absorbs quickly. I'm a huge fan!",Positive
Maybelline New York Instant Age Rewind Concealer,"Concealer with a sponge applicator for easy blending, brightens and conceals imperfections.",Maybelline,Great value for money. I love how my skin looks and feels after using it.,Positive
The Ordinary Niacinamide 10% + Zinc 1%,"Serum targeting blemishes, improves skin texture and reduces visible pores.",The Ordinary,This is by far the best moisturizer I’ve ever used. Highly recommend it!,Positive
Maybelline New York Instant Age Rewind Concealer,"Concealer with a sponge applicator for easy blending, brightens and conceals imperfections.",Maybelline,It smells strange and left a sticky residue on my skin.,Negative
Neutrogena Hydro Boost Water Gel,"Oil-free moisturizer with hyaluronic acid, provides hydration without clogging pores.",Neutrogena,I'm really disappointed with this product. It didn’t work for me at all.,Negative
L'Oreal Paris Infallible Pro-Matte Foundation,"Long-lasting, matte finish foundation with a lightweight formula for oily skin.",L'Oreal,"Absolutely love it! The results are noticeable, and my skin feels so much smoother.",Positive
Neutrogena Hydro Boost Water Gel,"Oil-free moisturizer with hyaluronic acid, provides hydration without clogging pores.",Neutrogena,I'm very satisfied with my purchase. It works wonders and is worth every penny!,Positive
CeraVe Hydrating Cleanser,"Gentle, non-foaming cleanser with ceramides and hyaluronic acid, suitable for normal to dry skin.",CeraVe,Great value for money. I love how my skin looks and feels after using it.,Positive
Neutrogena Hydro Boost Water Gel,"Oil-free moisturizer with hyaluronic acid, provides hydration without clogging pores.",Neutrogena,I regret buying this. It caused more problems than it solved.,Negative
Estée Lauder Double Wear Stay-in-Place Makeup,"Long-wearing foundation with SPF 10, offers full coverage and a natural finish.",Estée Lauder,I'm very satisfied with my purchase. It works wonders and is worth every penny!,Positive
CeraVe Hydrating Cleanser,"Gentle, non-foaming cleanser with ceramides and hyaluronic acid, suitable for normal to dry skin.",CeraVe,This is by far the best moisturizer I’ve ever used. Highly recommend it!,Positive
Estée Lauder Double Wear Stay-in-Place Makeup,"Long-wearing foundation with SPF 10, offers full coverage and a natural finish.",Estée Lauder,I regret buying this. It caused more problems than it solved.,Negative
L'Oreal Paris Infallible Pro-Matte Foundation,"Long-lasting, matte finish foundation with a lightweight formula for oily skin.",L'Oreal,I experienced allergic reactions after using it. Very disappointing.,Negative
Pixi Glow Tonic,"Exfoliating toner with 5% glycolic acid, brightens skin and improves texture.",Pixi,"The scent is pleasant, and it feels luxurious on my skin.",Positive
The Ordinary Niacinamide 10% + Zinc 1%,"Serum targeting blemishes, improves skin texture and reduces visible pores.",The Ordinary,It didn’t live up to the hype. My skin felt dry and irritated after use.,Negative
Pixi Glow Tonic,"Exfoliating toner with 5% glycolic acid, brightens skin and improves texture.",Pixi,Great value for money. I love how my skin looks and feels after using it.,Positive
CeraVe Hydrating Cleanser,"Gentle, non-foaming cleanser with ceramides and hyaluronic acid, suitable for normal to dry skin.",CeraVe,Excellent product! It exceeded my expectations and I'll be buying it again.,Positive
Maybelline New York Instant Age Rewind Concealer,"Concealer with a sponge applicator for easy blending, brightens and conceals imperfections.",Maybelline,I'm very satisfied with my purchase. It works wonders and is worth every penny!,Positive
L'Oreal Paris Infallible Pro-Matte Foundation,"Long-lasting, matte finish foundation with a lightweight formula for oily skin.",L'Oreal,I'm really disappointed with this product. It didn’t work for me at all.,Negative
Neutrogena Hydro Boost Water Gel,"Oil-free moisturizer with hyaluronic acid, provides hydration without clogging pores.",Neutrogena,Great value for money. I love how my skin looks and feels after using it.,Positive
Pixi Glow Tonic,"Exfoliating toner with 5% glycolic acid, brightens skin and improves texture.",Pixi,"The texture is lovely, and it absorbs quickly. I'm a huge fan!",Positive
Estée Lauder Double Wear Stay-in-Place Makeup,"Long-wearing foundation with SPF 10, offers full coverage and a natural finish.",Estée Lauder,It was not worth the money. I expected better results.,Negative
L'Oreal Paris Infallible Pro-Matte Foundation,"Long-lasting, matte finish foundation with a lightweight formula for oily skin.",L'Oreal,I experienced allergic reactions after using it. Very disappointing.,Negative
CeraVe Hydrating Cleanser,"Gentle, non-foaming cleanser with ceramides and hyaluronic acid, suitable for normal to dry skin.",CeraVe,I had no breakouts at all! This has become a staple in my routine.,Positive
La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60,"Broad-spectrum sunscreen with antioxidants, suitable for sensitive skin.",La Roche-Posay,"The shade range is limited, and it didn’t match my skin tone well.",Negative
L'Oreal Paris Infallible Pro-Matte Foundation,"Long-lasting, matte finish foundation with a lightweight formula for oily skin.",L'Oreal,"The texture is lovely, and it absorbs quickly. I'm a huge fan!",Positive
Tatcha The Water Cream,"Oil-free moisturizer with Japanese botanicals, controls oil and delivers hydration.",Tatcha,It smells strange and left a sticky residue on my skin.,Negative
Pixi Glow Tonic,"Exfoliating toner with 5% glycolic acid, brightens skin and improves texture.",Pixi,I'm really disappointed with this product. It didn’t work for me at all.,Negative
Maybelline New York Instant Age Rewind Concealer,"Concealer with a sponge applicator for easy blending, brightens and conceals imperfections.",Maybelline,Excellent product! It exceeded my expectations and I'll be buying it again.,Positive
Neutrogena Hydro Boost Water Gel,"Oil-free moisturizer with hyaluronic acid, provides hydration without clogging pores.",Neutrogena,"The scent is pleasant, and it feels luxurious on my skin.",Positive
La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60,"Broad-spectrum sunscreen with antioxidants, suitable for sensitive skin.",La Roche-Posay,Great value for money. I love how my skin looks and feels after using it.,Positive
The Ordinary Niacinamide 10% + Zinc 1%,"Serum targeting blemishes, improves skin texture and reduces visible pores.",The Ordinary,Great value for money. I love how my skin looks and feels after using it.,Positive
Tatcha The Water Cream,"Oil-free moisturizer with Japanese botanicals, controls oil and delivers hydration.",Tatcha,I experienced allergic reactions after using it. Very disappointing.,Negative
The Ordinary Niacinamide 10% + Zinc 1%,"Serum targeting blemishes, improves skin texture and reduces visible pores.",The Ordinary,Fantastic product! It delivers on its promises and feels great on the skin.,Positive
Pixi Glow Tonic,"Exfoliating toner with 5% glycolic acid, brightens skin and improves texture.",Pixi,It smells strange and left a sticky residue on my skin.,Negative
Pixi Glow Tonic,"Exfoliating toner with 5% glycolic acid, brightens skin and improves texture.",Pixi,It didn’t live up to the hype. My skin felt dry and irritated after use.,Negative
La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60,"Broad-spectrum sunscreen with antioxidants, suitable for sensitive skin.",La Roche-Posay,I'm very satisfied with my purchase. It works wonders and is worth every penny!,Positive
CeraVe Hydrating Cleanser,"Gentle, non-foaming cleanser with ceramides and hyaluronic acid, suitable for normal to dry skin.",CeraVe,This product is amazing! It has transformed my skin for the better.,Positive
Neutrogena Hydro Boost Water Gel,"Oil-free moisturizer with hyaluronic acid, provides hydration without clogging pores.",Neutrogena,Excellent product! It exceeded my expectations and I'll be buying it again.,Positive
Neutrogena Hydro Boost Water Gel,"Oil-free moisturizer with hyaluronic acid, provides hydration without clogging pores.",Neutrogena,"The shade range is limited, and it didn’t match my skin tone well.",Negative
La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60,"Broad-spectrum sunscreen with antioxidants, suitable for sensitive skin.",La Roche-Posay,Customer service was unhelpful when I raised my concerns.,Negative
CeraVe Hydrating Cleanser,"Gentle, non-foaming cleanser with ceramides and hyaluronic acid, suitable for normal to dry skin.",CeraVe,Customer service was unhelpful when I raised my concerns.,Negative
L'Oreal Paris Infallible Pro-Matte Foundation,"Long-lasting, matte finish foundation with a lightweight formula for oily skin.",L'Oreal,It smells strange and left a sticky residue on my skin.,Negative
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,"Gel-cream moisturizer with hyaluronic acid, provides intense hydration for all skin types.",Clinique,"Absolutely love it! The results are noticeable, and my skin feels so much smoother.",Positive
L'Oreal Paris Infallible Pro-Matte Foundation,"Long-lasting, matte finish foundation with a lightweight formula for oily skin.",L'Oreal,"Absolutely love it! The results are noticeable, and my skin feels so much smoother.",Positive
Tatcha The Water Cream,"Oil-free moisturizer with Japanese botanicals, controls oil and delivers hydration.",Tatcha,I had no breakouts at all! This has become a staple in my routine.,Positive
The Ordinary Niacinamide 10% + Zinc 1%,"Serum targeting blemishes, improves skin texture and reduces visible pores.",The Ordinary,It didn’t live up to the hype. My skin felt dry and irritated after use.,Negative
Estée Lauder Double Wear Stay-in-Place Makeup,"Long-wearing foundation with SPF 10, offers full coverage and a natural finish.",Estée Lauder,Fantastic product! It delivers on its promises and feels great on the skin.,Positive
Tatcha The Water Cream,"Oil-free moisturizer with Japanese botanicals, controls oil and delivers hydration.",Tatcha,I had no breakouts at all! This has become a staple in my routine.,Positive
The Ordinary Niacinamide 10% + Zinc 1%,"Serum targeting blemishes, improves skin texture and reduces visible pores.",The Ordinary,I'm very satisfied with my purchase. It works wonders and is worth every penny!,Positive
La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60,"Broad-spectrum sunscreen with antioxidants, suitable for sensitive skin.",La Roche-Posay,Customer service was unhelpful when I raised my concerns.,Negative
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,"Gel-cream moisturizer with hyaluronic acid, provides intense hydration for all skin types.",Clinique,The formula was too heavy and broke me out. I wouldn’t recommend it.,Negative
L'Oreal Paris Infallible Pro-Matte Foundation,"Long-lasting, matte finish foundation with a lightweight formula for oily skin.",L'Oreal,The formula was too heavy and broke me out. I wouldn’t recommend it.,Negative
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,"Gel-cream moisturizer with hyaluronic acid, provides intense hydration for all skin types.",Clinique,It didn’t live up to the hype. My skin felt dry and irritated after use.,Negative
Pixi Glow Tonic,"Exfoliating toner with 5% glycolic acid, brightens skin and improves texture.",Pixi,I'm really disappointed with this product. It didn’t work for me at all.,Negative
Tatcha The Water Cream,"Oil-free moisturizer with Japanese botanicals, controls oil and delivers hydration.",Tatcha,I'm really disappointed with this product. It didn’t work for me at all.,Negative
CeraVe Hydrating Cleanser,"Gentle, non-foaming cleanser with ceramides and hyaluronic acid, suitable for normal to dry skin.",CeraVe,I'm really disappointed with this product. It didn’t work for me at all.,Negative
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,"Gel-cream moisturizer with hyaluronic acid, provides intense hydration for all skin types.",Clinique,Excellent product! It exceeded my expectations and I'll be buying it again.,Positive
La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60,"Broad-spectrum sunscreen with antioxidants, suitable for sensitive skin.",La Roche-Posay,I'm very satisfied with my purchase. It works wonders and is worth every penny!,Positive
L'Oreal Paris Infallible Pro-Matte Foundation,"Long-lasting, matte finish foundation with a lightweight formula for oily skin.",L'Oreal,Fantastic product! It delivers on its promises and feels great on the skin.,Positive
Neutrogena Hydro Boost Water Gel,"Oil-free moisturizer with hyaluronic acid, provides hydration without clogging pores.",Neutrogena,"Absolutely love it! The results are noticeable, and my skin feels so much smoother.",Positive
Estée Lauder Double Wear Stay-in-Place Makeup,"Long-wearing foundation with SPF 10, offers full coverage and a natural finish.",Estée Lauder,It didn’t live up to the hype. My skin felt dry and irritated after use.,Negative
Tatcha The Water Cream,"Oil-free moisturizer with Japanese botanicals, controls oil and delivers hydration.",Tatcha,"The scent is pleasant, and it feels luxurious on my skin.",Positive
Tatcha The Water Cream,"Oil-free moisturizer with Japanese botanicals, controls oil and delivers hydration.",Tatcha,"The texture is lovely, and it absorbs quickly. I'm a huge fan!",Positive
CeraVe Hydrating Cleanser,"Gentle, non-foaming cleanser with ceramides and hyaluronic acid, suitable for normal to dry skin.",CeraVe,"I had high hopes, but this product did not deliver as promised.",Negative
La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60,"Broad-spectrum sunscreen with antioxidants, suitable for sensitive skin.",La Roche-Posay,Customer service was unhelpful when I raised my concerns.,Negative
Pixi Glow Tonic,"Exfoliating toner with 5% glycolic acid, brightens skin and improves texture.",Pixi,This is by far the best moisturizer I’ve ever used. Highly recommend it!,Positive
Tatcha The Water Cream,"Oil-free moisturizer with Japanese botanicals, controls oil and delivers hydration.",Tatcha,It smells strange and left a sticky residue on my skin.,Negative
The Ordinary Niacinamide 10% + Zinc 1%,"Serum targeting blemishes, improves skin texture and reduces visible pores.",The Ordinary,It was not worth the money. I expected better results.,Negative
Maybelline New York Instant Age Rewind Concealer,"Concealer with a sponge applicator for easy blending, brightens and conceals imperfections.",Maybelline,I'm really disappointed with this product. It didn’t work for me at all.,Negative
Maybelline New York Instant Age Rewind Concealer,"Concealer with a sponge applicator for easy blending, brightens and conceals imperfections.",Maybelline,Great value for money. I love how my skin looks and feels after using it.,Positive
Estée Lauder Double Wear Stay-in-Place Makeup,"Long-wearing foundation with SPF 10, offers full coverage and a natural finish.",Estée Lauder,"The texture is lovely, and it absorbs quickly. I'm a huge fan!",Positive
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,"Gel-cream moisturizer with hyaluronic acid, provides intense hydration for all skin types.",Clinique,It didn’t live up to the hype. My skin felt dry and irritated after use.,Negative
La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60,"Broad-spectrum sunscreen with antioxidants, suitable for sensitive skin.",La Roche-Posay,Excellent product! It exceeded my expectations and I'll be buying it again.,Positive
CeraVe Hydrating Cleanser,"Gentle, non-foaming cleanser with ceramides and hyaluronic acid, suitable for normal to dry skin.",CeraVe,It didn’t live up to the hype. My skin felt dry and irritated after use.,Negative
Maybelline New York Instant Age Rewind Concealer,"Concealer with a sponge applicator for easy blending, brightens and conceals imperfections.",Maybelline,I'm very satisfied with my purchase. It works wonders and is worth every penny!,Positive
The Ordinary Niacinamide 10% + Zinc 1%,"Serum targeting blemishes, improves skin texture and reduces visible pores.",The Ordinary,I regret buying this. It caused more problems than it solved.,Negative
Neutrogena Hydro Boost Water Gel,"Oil-free moisturizer with hyaluronic acid, provides hydration without clogging pores.",Neutrogena,It smells strange and left a sticky residue on my skin.,Negative
L'Oreal Paris Infallible Pro-Matte Foundation,"Long-lasting, matte finish foundation with a lightweight formula for oily skin.",L'Oreal,"The scent is pleasant, and it feels luxurious on my skin.",Positive
Neutrogena Hydro Boost Water Gel,"Oil-free moisturizer with hyaluronic acid, provides hydration without clogging pores.",Neutrogena,It didn’t live up to the hype. My skin felt dry and irritated after use.,Negative
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,"Gel-cream moisturizer with hyaluronic acid, provides intense hydration for all skin types.",Clinique,I'm very satisfied with my purchase. It works wonders and is worth every penny!,Positive
